date,best_rate,best_lender,best_fee,best_two_year_cost,cheapest_two_year_lender,cheapest_two_year_rate,cheapest_two_year_fee,cheapest_two_year_cost,halifax,nationwide,natwest,barclays,lloyds,swap_2y
2026-01-26,4.85,Lloyds Bank,,,,,,,4.95,,5.05,4.97,,4.259
2026-01-27,4.84,Lloyds Bank,,,,,,,4.94,,5.04,4.96,,4.258
2026-01-28,4.84,Lloyds Bank,,,,,,,4.94,,5.04,4.96,,4.257
2026-01-29,4.84,Lloyds Bank,,,,,,,4.94,,5.04,4.96,,4.256
2026-01-30,4.84,Lloyds Bank,,,,,,,4.94,,5.04,4.96,,4.254
2026-02-02,4.83,Lloyds Bank,,,,,,,4.93,,5.03,4.95,,4.251
2026-02-03,4.82,Lloyds Bank,,,,,,,4.92,,5.02,4.94,,4.25
2026-02-04,4.82,Lloyds Bank,,,,,,,4.92,,5.02,4.94,,4.249
2026-02-05,4.82,Lloyds Bank,,,,,,,4.92,,5.02,4.94,,4.248
2026-02-06,4.82,Lloyds Bank,,,,,,,4.92,,5.02,4.94,,4.247
2026-02-09,4.81,Lloyds Bank,,,,,,,4.91,,5.01,4.93,,4.243
2026-02-10,4.81,Lloyds Bank,,,,,,,4.91,,5.01,4.93,,4.242
2026-02-11,4.8,Lloyds Bank,,,,,,,4.9,,5.0,4.92,,4.241
2026-02-12,4.8,Lloyds Bank,,,,,,,4.9,,5.0,4.92,,4.24
2026-02-13,4.8,Lloyds Bank,,,,,,,4.9,,5.0,4.92,,4.239
2026-02-16,4.79,Lloyds Bank,,,,,,,4.89,,4.99,4.91,,4.236
2026-02-17,4.79,Lloyds Bank,,,,,,,4.89,,4.99,4.91,,4.234
2026-02-18,4.78,Lloyds Bank,,,,,,,4.88,,4.98,4.9,,4.233
2026-02-19,4.78,Lloyds Bank,,,,,,,4.88,,4.98,4.9,,4.232
2026-02-20,4.78,Lloyds Bank,,,,,,,4.88,,4.98,4.9,,4.231
2026-02-23,4.77,Lloyds Bank,,,,,,,4.87,,4.97,4.89,,4.228
2026-02-24,4.77,Lloyds Bank,,,,,,,4.87,,4.97,4.89,,4.227
2026-02-25,4.76,Lloyds Bank,,,,,,,4.86,,4.96,4.88,,4.226
2026-02-26,4.76,Lloyds Bank,,,,,,,4.86,,4.96,4.88,,4.224
2026-02-27,4.76,Lloyds Bank,,,,,,,4.86,,4.96,4.88,,4.223
2026-03-02,4.75,Lloyds Bank,,,,,,,4.85,,4.95,4.87,,4.22
2026-03-03,4.75,Lloyds Bank,,,,,,,4.85,,4.95,4.87,,4.219
2026-03-04,4.74,Lloyds Bank,,,,,,,4.84,,4.94,4.86,,4.218
2026-03-05,4.74,Lloyds Bank,,,,,,,4.84,,4.94,4.86,,4.217
2026-03-06,4.74,Lloyds Bank,,,,,,,4.84,,4.94,4.86,,4.216
2026-03-09,4.73,Lloyds Bank,,,,,,,4.83,,4.93,4.85,,4.212
2026-03-10,4.73,Lloyds Bank,,,,,,,4.83,,4.93,4.85,,4.211
2026-03-11,4.72,Lloyds Bank,,,,,,,4.82,,4.92,4.84,,4.21
2026-03-12,4.72,Lloyds Bank,,,,,,,4.82,,4.92,4.84,,4.209
2026-03-13,4.72,Lloyds Bank,,,,,,,4.82,,4.92,4.84,,4.208
2026-03-16,4.71,Lloyds Bank,,,,,,,4.81,,4.91,4.83,,4.204
